ba_code,ba_name,latitude,longitude
AEC,Alabama Electric Cooperative,31.33,-86.33
AECI,Associated Electric Cooperative Inc.,37.50,-92.50
AVA,Avista Corporation,47.65,-117.43
AVRN,Avangrid Renewables,45.52,-122.68
AZPS,Arizona Public Service Company,33.45,-112.07
BANC,Balancing Authority of Northern California,39.50,-121.50
BHBA,Basin Electric Power Cooperative,46.81,-100.78
BPAT,Bonneville Power Administration,45.52,-122.68
CHPD,Chelan County Public Utility District,47.83,-120.60
CISO,California Independent System Operator,37.00,-120.00
CPLE,Duke Energy Carolinas,35.22,-80.84
CPLW,Duke Energy Progress,35.80,-78.65
DEAA,Arizona Public Service - Deer Valley,33.53,-112.08
DOPD,DOE Power Marketing Administration,46.60,-120.50
DUK,Duke Energy,35.22,-80.84
EEI,Electric Energy Inc.,37.30,-88.85
EPE,El Paso Electric Company,31.76,-106.44
ERCO,Electric Reliability Council of Texas,31.50,-99.00
FMPP,Florida Municipal Power Pool,28.54,-81.38
FPC,Florida Power Corporation,27.95,-82.46
FPL,Florida Power and Light Company,26.89,-80.06
GCPD,Grant County Public Utility District,47.00,-119.50
GLHB,GridLiance,35.47,-97.52
GRID,Gridforce Energy Management,32.78,-96.80
GRIF,Griffith Energy LLC,35.20,-113.95
GRMA,Grand River Dam Authority,36.78,-94.83
GVL,Gainesville Regional Utilities,29.65,-82.32
GWA,Golden Spread Electric Cooperative,35.20,-101.83
HGMA,Hyrum City Power,41.63,-111.85
HST,City of Homestead Florida,25.47,-80.48
IID,Imperial Irrigation District,32.84,-115.57
IPCO,Idaho Power Company,43.61,-116.21
ISNE,ISO New England,42.40,-71.10
JEA,Jacksonville Electric Authority,30.33,-81.66
LDWP,Los Angeles Department of Water and Power,34.05,-118.24
LGEE,LG&E and KU Energy LLC,38.25,-85.76
MISO,Midcontinent Independent System Operator,38.63,-90.24
NEVP,Nevada Power Company,36.17,-115.15
NSB,New Smyrna Beach Utilities,29.03,-80.93
NWMT,NorthWestern Energy - Montana,46.59,-112.04
NYIS,New York Independent System Operator,42.65,-73.75
OVEC,Ohio Valley Electric Corporation,38.73,-82.98
PACE,PacifiCorp East,40.76,-111.89
PACW,PacifiCorp West,45.52,-122.68
PGE,Portland General Electric,45.52,-122.68
PJM,PJM Interconnection,40.05,-75.54
PNM,Public Service Company of New Mexico,35.08,-106.65
PSCO,Public Service Company of Colorado,39.74,-104.99
PSEI,Puget Sound Energy,47.61,-122.33
SC,South Carolina Public Service Authority,33.00,-79.95
SCEG,South Carolina Electric and Gas,34.00,-81.03
SCL,Seattle City Light,47.61,-122.33
SEC,Seminole Electric Cooperative,28.08,-82.42
SEPA,Southeastern Power Administration,33.75,-84.39
SOCO,Southern Company,33.75,-84.39
SPA,Southwestern Power Administration,36.15,-95.99
SRP,Salt River Project,33.45,-111.98
SWPP,Southwest Power Pool,38.00,-97.50
SWPW,Southwestern Public Service Company,35.20,-101.83
TAL,Tallahassee Electric,30.44,-84.28
TEC,Tampa Electric Company,27.95,-82.46
TEPC,Tucson Electric Power Company,32.22,-110.97
TIDC,Turlock Irrigation District,37.50,-120.85
TPWR,Transource Power LLC,40.05,-75.54
TVA,Tennessee Valley Authority,35.96,-83.92
WACM,Western Area Power Administration - Central,39.74,-104.99
WALC,Western Area Power Administration - Lower Colorado,36.17,-115.15
WAUW,Western Area Power Administration - Upper Great Plains,46.81,-100.78
WWA,Western Area Power Administration - Rocky Mountain,40.76,-111.89
YAD,Yadkin Inc.,35.90,-80.07
