ba_code,region_code
AEC,se
AECI,cent
AVA,nw
AVRN,nw
AZPS,sw
BANC,cal
BHBA,cent
BPAT,nw
CHPD,nw
CISO,cal
CPLE,car
CPLW,car
DEAA,sw
DOPD,nw
DUK,car
EEI,midw
EPE,sw
ERCO,tex
FMPP,fla
FPC,fla
FPL,fla
GCPD,nw
GLHB,cent
GRID,cent
GRIF,sw
GRMA,cent
GVL,fla
GWA,cent
HGMA,sw
HST,fla
IID,cal
IPCO,nw
ISNE,ne
JEA,fla
LDWP,cal
LGEE,ten
MISO,midw
NEVP,sw
NSB,fla
NWMT,nw
NYIS,ny
OVEC,mida
PACE,sw
PACW,nw
PGE,nw
PJM,mida
PNM,sw
PSCO,cent
PSEI,nw
SC,car
SCEG,car
SCL,nw
SEC,fla
SEPA,se
SOCO,se
SPA,cent
SRP,sw
SWPP,cent
SWPW,cent
TAL,fla
TEC,fla
TEPC,sw
TIDC,cal
TPWR,mida
TVA,ten
WACM,cent
WALC,sw
WAUW,cent
WWA,nw
YAD,car
